arquivo,inputs,outputs,gates,levels,energy
c2rs-cavlc,10,11,635,17,581.06210
c2rs-ctrl,7,26,91,10,84.54037
c2rs-dec,8,256,304,3,223.40071
c2rs-int2float,11,7,209,15,194.96368
c2rs-sin,24,25,5019,180,3261.54268
compress2-cavlc,10,11,662,16,610.12019
compress2-ctrl,7,26,109,8,103.17832
compress2-dec,8,256,304,3,223.40071
compress2-int2float,11,7,214,15,198.67277
compress2rs-cavlc,10,11,635,17,581.06210
compress2rs-ctrl,7,26,91,10,84.54037
compress2rs-dec,8,256,304,3,223.40071
compress2rs-int2float,11,7,209,15,194.96368
compress2rs-sin,24,25,5019,180,3261.54268
compress2-sin,24,25,5041,179,3277.61539
compress-cavlc,10,11,672,16,623.19681
compress-ctrl,7,26,122,11,113.56443
compress-dec,8,256,304,3,223.40071
compress-int2float,11,7,217,15,202.19392
compress-sin,24,25,5127,179,3371.79198
r2rs-cavlc,10,11,635,16,580.79175
r2rs-ctrl,7,26,94,8,88.34115
r2rs-dec,8,256,304,3,223.40071
r2rs-int2float,11,7,209,15,194.96368
r2rs-sin,24,25,5021,175,3260.92545
resyn2a-cavlc,10,11,667,16,617.31059
resyn2a-ctrl,7,26,125,8,116.22589
resyn2a-dec,8,256,304,3,223.40071
resyn2a-int2float,11,7,217,15,202.19392
resyn2a-sin,24,25,5117,178,3372.41500
resyn2-cavlc,10,11,662,16,610.78484
resyn2-ctrl,7,26,109,8,103.17832
resyn2-dec,8,256,304,3,223.40071
resyn2-int2float,11,7,214,15,198.67277
resyn2rs-cavlc,10,11,635,16,580.79175
resyn2rs-ctrl,7,26,94,8,88.34115
resyn2rs-dec,8,256,304,3,223.40071
resyn2rs-int2float,11,7,209,15,194.96368
resyn2rs-sin,24,25,5021,175,3260.92545
resyn2-sin,24,25,5039,177,3275.41816
resyn3-cavlc,10,11,669,16,615.50585
resyn3-ctrl,7,26,107,9,91.87968
resyn3-dec,8,256,304,3,223.40071
resyn3-int2float,11,7,222,15,207.70930
resyn3-sin,24,25,5338,185,3370.64564
src_rs-cavlc,10,11,652,17,599.44631
src_rs-ctrl,7,26,96,11,83.68749
src_rs-dec,8,256,304,3,223.40071
src_rs-int2float,11,7,231,16,218.87452
src_rs-sin,24,25,5213,225,3304.36217
src_rw-cavlc,10,11,674,18,625.75260
src_rw-ctrl,7,26,123,11,114.72181
src_rw-dec,8,256,304,3,223.40071
src_rw-int2float,11,7,217,18,202.27308
src_rws-cavlc,10,11,641,18,587.37341
src_rws-ctrl,7,26,90,8,83.61390
src_rws-dec,8,256,304,3,223.40071
src_rws-int2float,11,7,214,18,199.94704
src_rw-sin,24,25,5181,188,3375.41033
src_rws-sin,24,25,5074,187,3257.67081
choice2-cavic,10,11,680,16,630.26473
choice2-ctrl,7,26,165,10,141.24996
choice2-dec,8,256,304,3,223.40071
choice2-int2float,11,7,231,15,219.10779
choice2-sin,24,25,5365,185,3397.96379
choice-cav1c,10,11,684,16,633.38589
choice-ctrl,7,26,168,10,140.90396
choice-dec,8,256,304,3,223.40071
choice-int2float,11,7,232,15,219.6777
choice-sin,24,25,5351,186,3381.31795
original-cavlc,10,11,693,16,642.20375
original-ctrl,7,26,175,10,146.34903
original-dec,8,256,304,3,223.40071
original-int2float,11,7,260,16,253.29827
original-sin,24,25,5416,225,3409.47082
